"","FRE","ALD","RIE","TRO","SCG","BOH","BOB","FRB","UEB","SCL","SCD","WSL","BUR","SCS","NEU","UST","KON","FRI","BAR","BRU","LIM","HAN","GEN"
"FRE",0,0.0902660100763116,0.0772940730576764,0.100213219616205,0.0716981132075472,0.0739146382188224,0.0683718368157469,-0.00907199334165627,0.123903394910827,0.0986490540370029,0.078012644551625,0.067379679144385,0.0981373788709311,0.0885106382978723,0.0963493199713672,0.0741155025857205,0.0992517469544246,0.0246544364982898,-0.0168888888888889,0.0305524491165287,0.0343128308085417,0.0799257695015038,0.055802007938361
"ALD",0.0902660100763116,0,0.0410972821945644,0.0874359746911721,0.112704083413822,0.0694516417353383,0.0428836689399022,0.123673816296481,0.0811779454587483,0.118148401494108,0.0828165741321886,0.0482040781503285,0.165882072918794,0.0855858548423733,0.067987026600402,0.0423022397683196,0.0749067825270282,0.0553737717315332,0.101580135440181,0.0534071853244575,0.0564556930343482,0.084749168943612,0.0705141691886905
"RIE",0.0772940730576764,0.0410972821945644,0,0.0828646229620194,0.0858795351681857,0.0611854389797069,0.031220576911894,0.101559484519642,0.0877846135118602,0.0811957456792055,0.0506730657263946,0.049396595757166,0.144201093967848,0.0900094036218167,0.0418316343435307,0.0502924140968078,0.0703481262704491,0.0501233909264814,0.0548214683393957,0.0438374074634377,0.0468951356973572,0.0471720680913952,0.0492435525447513
"TRO",0.100213219616205,0.0874359746911721,0.0828646229620194,0,0.110470409711684,0.0913205572151773,0.0754682772038257,0.133537144133252,0.10467548672404,0.122072476577838,0.104968726237445,0.0894025294374182,0.147968203794062,0.107272727272727,0.0650485436893204,0.0766956060203966,0.120975573317397,0.0758943513375858,0.145132743362832,0.0700697312301131,0.0531330271658753,0.109713405135592,0.0993071593533487
"SCG",0.0716981132075472,0.112704083413822,0.0858795351681857,0.110470409711684,0,0.102451835702704,0.0754759626686355,0.0929662485328053,0.126282767956769,0.0211052962922903,0.0333200935610574,0.0855168442268932,0.125910343364223,0.0624704956726987,0.106422018348624,0.0786366745105313,0.105632070055456,0.0719963880871374,0.0590476190476191,0.0410654827968924,0.0310405476065979,0.0919008516072289,0.0290524029323921
"BOH",0.0739146382188224,0.0694516417353383,0.0611854389797069,0.0913205572151773,0.102451835702704,0,0.0331626982462739,0.114374139845907,0.0811478320267665,0.106549120989388,0.0750795224791254,0.0798646684615568,0.143688295998034,0.0645852244526684,0.0513763658702861,0.0396405262667801,0.0654764150826157,0.035012072849681,0.0833664784026729,0.0301247968698231,0.0266371655717726,0.0540638921697545,0.0734870533652658
"BOB",0.0683718368157469,0.0428836689399022,0.031220576911894,0.0754682772038257,0.0754759626686355,0.0331626982462739,0,0.0966426270987819,0.0679351031586576,0.0967159889723034,0.0502257178598264,0.0616107611990589,0.128968985870204,0.0711803529848247,0.0503175335551409,0.0348266321211529,0.0747195770012432,0.0356229379859647,0.0548193592764616,0.0322894749479781,0.0320007104091882,0.0541289630270262,0.0488176736262404
"FRB",-0.00907199334165627,0.123673816296481,0.101559484519642,0.133537144133252,0.0929662485328053,0.114374139845907,0.0966426270987819,0,0.164134336140505,0.133206320325445,0.106873504078529,0.099804417034277,0.104706122226411,0.113337322898289,0.129229742626805,0.107216440098954,0.138871258380571,0.0476036063321504,0.0419753086419753,0.0581960514430728,0.0585006915090481,0.119789007997278,0.106404221936956
"UEB",0.123903394910827,0.0811779454587483,0.0877846135118602,0.10467548672404,0.126282767956769,0.0811478320267665,0.0679351031586576,0.164134336140505,0,0.111625404290277,0.0960754669692903,0.0795510640441078,0.184564489578356,0.112934140541839,0.103748748714666,0.0643843505186415,0.11492593217924,0.080135052932461,0.0995500562429696,0.0748978878009613,0.0747718683374429,0.0891390947423177,0.0663620933265157
"SCL",0.0986490540370029,0.118148401494108,0.0811957456792055,0.122072476577838,0.0211052962922903,0.106549120989388,0.0967159889723034,0.133206320325445,0.111625404290277,0,0.0377862524885622,0.0781713792713865,0.160971944676097,0.101821275687244,0.0802399843821901,0.093523612007815,0.103547421363935,0.100618442308453,0.0589992531740104,0.061896583174495,0.0572285198294805,0.0668987097969971,0.052603984620762
"SCD",0.078012644551625,0.0828165741321886,0.0506730657263946,0.104968726237445,0.0333200935610574,0.0750795224791254,0.0502257178598264,0.106873504078529,0.0960754669692903,0.0377862524885622,0,0.0548893527759578,0.133840899323427,0.084324394858746,0.0805236643873474,0.0622233922837941,0.0936797257988257,0.058285552411785,0.0515199765735097,0.0360103085602842,0.0412878854742193,0.0413583890065412,0.0398474847990294
"WSL",0.067379679144385,0.0482040781503285,0.049396595757166,0.0894025294374182,0.0855168442268932,0.0798646684615568,0.0616107611990589,0.099804417034277,0.0795510640441078,0.0781713792713865,0.0548893527759578,0,0.129612433731766,0.0782984859408796,0.0785587714116952,0.0747364340263171,0.0752644802406581,0.0289345393356606,0.0740740740740741,0.018554062699936,0.0228913811645414,0.0744092508798391,0.0710571923743501
"BUR",0.0981373788709311,0.165882072918794,0.144201093967848,0.147968203794062,0.125910343364223,0.143688295998034,0.128968985870204,0.104706122226411,0.184564489578356,0.160971944676097,0.133840899323427,0.129612433731766,0,0.138668407609754,0.153643775617407,0.141813910936369,0.155541762112602,0.0993361330920165,0.119613016710642,0.0743833736630088,0.0844657484234277,0.155804680934757,0.135936997576692
"SCS",0.0885106382978723,0.0855858548423733,0.0900094036218167,0.107272727272727,0.0624704956726987,0.0645852244526684,0.0711803529848247,0.113337322898289,0.112934140541839,0.101821275687244,0.084324394858746,0.0782984859408796,0.138668407609754,0,0.113358490566038,0.0607754680819696,0.0757986944948815,0.0348756054647504,0.116814159292035,0.0287915936952714,0.0196542514912603,0.0839065817409766,0.0198423484642566
"NEU",0.0963493199713672,0.067987026600402,0.0418316343435307,0.0650485436893204,0.106422018348624,0.0513763658702861,0.0503175335551409,0.129229742626805,0.103748748714666,0.0802399843821901,0.0805236643873474,0.0785587714116952,0.153643775617407,0.113358490566038,0,0.0657664231420292,0.0698318496538081,0.0738252091426066,0.135135135135135,0.0515102605487664,0.0489970404472213,0.0722537282083596,0.0990712074303406
"UST",0.0741155025857205,0.0423022397683196,0.0502924140968078,0.0766956060203966,0.0786366745105313,0.0396405262667801,0.0348266321211529,0.107216440098954,0.0643843505186415,0.093523612007815,0.0622233922837941,0.0747364340263171,0.141813910936369,0.0607754680819696,0.0657664231420292,0,0.0657921538661515,0.0424819280656037,0.0616528727359961,0.0360069352955145,0.0297406459535344,0.047778462115145,0.0218907631393394
"KON",0.0992517469544246,0.0749067825270282,0.0703481262704491,0.120975573317397,0.105632070055456,0.0654764150826157,0.0747195770012432,0.138871258380571,0.11492593217924,0.103547421363935,0.0936797257988257,0.0752644802406581,0.155541762112602,0.0757986944948815,0.0698318496538081,0.0657921538661515,0,0.077758735721122,0.134274050408236,0.0668699688834856,0.0646412436015453,0.0830484098307918,0.0620882816314873
"FRI",0.0246544364982898,0.0553737717315332,0.0501233909264814,0.0758943513375858,0.0719963880871374,0.035012072849681,0.0356229379859647,0.0476036063321504,0.080135052932461,0.100618442308453,0.058285552411785,0.0289345393356606,0.0993361330920165,0.0348756054647504,0.0738252091426066,0.0424819280656037,0.077758735721122,0,0.0356626506024096,0.00454983250260245,0.00462144590586332,0.0559666291265028,0.0341215775586167
"BAR",-0.0168888888888889,0.101580135440181,0.0548214683393957,0.145132743362832,0.0590476190476191,0.0833664784026729,0.0548193592764616,0.0419753086419753,0.0995500562429696,0.0589992531740104,0.0515199765735097,0.0740740740740741,0.119613016710642,0.116814159292035,0.135135135135135,0.0616528727359961,0.134274050408236,0.0356626506024096,0,-0.0198347107438016,0.000776397515527955,0.064,0.0422535211267606
"BRU",0.0305524491165287,0.0534071853244575,0.0438374074634377,0.0700697312301131,0.0410654827968924,0.0301247968698231,0.0322894749479781,0.0581960514430728,0.0748978878009613,0.061896583174495,0.0360103085602842,0.018554062699936,0.0743833736630088,0.0287915936952714,0.0515102605487664,0.0360069352955145,0.0668699688834856,0.00454983250260245,-0.0198347107438016,0,-0.00921896680736064,0.0369353237026866,-0.000124766063630692
"LIM",0.0343128308085417,0.0564556930343482,0.0468951356973572,0.0531330271658753,0.0310405476065979,0.0266371655717726,0.0320007104091882,0.0585006915090481,0.0747718683374429,0.0572285198294805,0.0412878854742193,0.0228913811645414,0.0844657484234277,0.0196542514912603,0.0489970404472213,0.0297406459535344,0.0646412436015453,0.00462144590586332,0.000776397515527955,-0.00921896680736064,0,0.0382724395415297,0.00652900640832238
"HAN",0.0799257695015038,0.084749168943612,0.0471720680913952,0.109713405135592,0.0919008516072289,0.0540638921697545,0.0541289630270262,0.119789007997278,0.0891390947423177,0.0668987097969971,0.0413583890065412,0.0744092508798391,0.155804680934757,0.0839065817409766,0.0722537282083596,0.047778462115145,0.0830484098307918,0.0559666291265028,0.064,0.0369353237026866,0.0382724395415297,0,0.0421267552814701
"GEN",0.055802007938361,0.0705141691886905,0.0492435525447513,0.0993071593533487,0.0290524029323921,0.0734870533652658,0.0488176736262404,0.106404221936956,0.0663620933265157,0.052603984620762,0.0398474847990294,0.0710571923743501,0.135936997576692,0.0198423484642566,0.0990712074303406,0.0218907631393394,0.0620882816314873,0.0341215775586167,0.0422535211267606,-0.000124766063630692,0.00652900640832238,0.0421267552814701,0
