"","Pop","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1","FRE",21,20,10,9,6,51,97,0,0,0,0,0,0
"2","ALD",24,12,16,7,3,0,0,0,0,0,0,0,0
"3","RIE",19,11,16,12,4,0,0,0,0,0,0,0,0
"4","TRO",16,10,8,0,0,0,0,0,0,0,0,0,0
"5","SCG",9,3,1,2,0,0,0,0,0,0,0,0,0
"6","BOH",11,13,6,10,0,0,0,0,0,0,0,0,0
"7","BOB",6,36,50,30,16,53,145,65,28,0,0,0,0
"8","FRB",4,4,4,1,0,0,0,0,0,0,0,0,0
"9","UEB",27,6,54,36,27,0,0,0,3,0,0,0,0
"10","SCL",0,53,7,24,1,9,5,0,0,0,0,0,0
"11","SCD",0,25,5,8,16,43,3,0,0,0,0,0,0
"12","WSL",0,1,0,0,0,58,61,14,72,73,4,0,0
"13","BUR",0,0,63,8,6,21,0,34,3,59,20,9,0
"14","SCS",0,0,7,15,0,19,2,0,0,0,0,0,0
"15","NEU",0,0,4,3,1,15,2,0,0,5,2,0,0
"16","UST",0,0,25,10,0,0,0,0,0,0,0,0,0
"17","KON",0,0,3,12,2,25,17,41,26,25,27,11,23
"18","FRI",0,0,51,4,1,9,52,3,0,0,0,0,0
"19","BAR",0,0,0,1,0,0,0,0,0,0,0,0,0
"20","BRU",0,0,0,0,0,90,14,74,0,0,0,0,0
"21","LIM",0,0,0,0,0,65,80,71,0,0,0,0,0
"22","HAN",0,0,0,0,0,1,39,22,3,0,0,0,0
"23","GEN",0,0,0,0,0,0,0,1,0,3,1,5,0
"24","Total",0,0,0,0,0,0,0,0,0,0,0,0,0
